,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
222,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.05,-148.74,1
223,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.05,-133.56,1
224,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0,-111.72,1
225,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0.0,-111.65,1
226,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-111.61999999999999,1
227,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0.0,-111.49999999999991,1
228,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0.0,-111.39,2
229,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0.0,-111.26999999999997,1
230,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0.0,-111.25,2
231,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0.05,-130.57000000000002,1
232,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0.0,-110.68999999999997,1
233,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0.0,-110.50999999999993,1
234,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.05,-148.74,1
235,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0.05,-109.48999999999995,1
236,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0.05,-109.48999999999998,1
237,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0.0,-109.46999999999991,1
238,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0.0,-109.43999999999997,1
239,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0.05,-88.72999999999999,1
